k,info_list,t,purity,f_list,ari_list
10,0.07953858395274399,2.9628398418426514,0.62,0.4769143790439098,0.36485690503030727
30,0.19283539354919732,6.427924633026123,0.6533333333333333,0.5291596311209247,0.4318268192943251
50,0.2904337858197073,6.452458620071411,0.58,0.4406935505057139,0.326509247165756
70,0.37893986493641363,7.574405908584595,0.6266666666666667,0.4552263538145423,0.34515841160183086
90,0.46019908401239906,8.786399364471436,0.7233333333333334,0.5462050599201066,0.45498539841468505
110,0.535662768742181,11.10808777809143,0.5833333333333334,0.4614655930712497,0.3552373296442392
130,0.6059673338692915,14.265219449996948,0.6066666666666667,0.4456168831168831,0.33621858108217917
150,0.6711036735019817,17.892009973526,0.5866666666666667,0.4216779016218381,0.30575663813683335
170,0.7312370364763657,18.561864614486694,0.6466666666666666,0.518627713749665,0.4225800693758965
190,0.7867818863409387,23.883574962615967,0.61,0.43738669173437184,0.32540101184961034
210,0.8373734580286165,22.551616668701172,0.58,0.42693756727664156,0.31313195057988696
230,0.8829128901176698,21.149515867233276,0.6566666666666666,0.46864908503767494,0.36312704222586845
250,0.9233512060705548,22.83482837677002,0.5833333333333334,0.4470715395527934,0.33779446021501186
270,0.9588354648976551,25.666914463043213,0.6333333333333333,0.455460155621143,0.34694447493655844
290,0.9882832698328549,30.973283529281616,0.5833333333333334,0.41406353848198857,0.2960471042417425
