k,pca_info_list,pca_t,gmm_t,purity,f_list,ari_list
10,0.11066641530948096,0.9720425605773926,8.463501930236816,0.66,0.5322388769926243,0.4264351464271845
30,0.23612396360450008,2.495467185974121,7.062382221221924,0.6,0.4507233273056058,0.29683417143786217
50,0.3339961913378322,3.239704132080078,12.775665283203125,0.6133333333333333,0.4481483307855417,0.3023676819534069
70,0.41952055267778154,3.7936620712280273,3.3782761096954346,0.5966666666666667,0.4526333131967708,0.3196523350293324
90,0.49668651684100945,4.300008058547974,6.407475709915161,0.6566666666666666,0.4833934088568486,0.37555255792555675
110,0.5688004429637172,8.499989032745361,7.190568208694458,0.68,0.5381638220925068,0.44025851145280626
130,0.6347452382356131,12.210860013961792,4.812065601348877,0.51,0.3554125910851441,0.22374993158622397
150,0.6959783362310203,12.866830825805664,6.308615207672119,0.6166666666666667,0.4543587110026961,0.3401234539052281
170,0.7528734947779838,11.05324125289917,7.436753034591675,0.5,0.3814529004789782,0.2570013031398294
190,0.805413289288721,0.6889140605926514,8.59379267692566,0.5466666666666666,0.3850605652759085,0.2629770498171107
210,0.8528339611092117,0.6824285984039307,33.0009925365448,0.47333333333333333,0.32834086507424143,0.18858466426173578
230,0.8960573497072732,0.6544859409332275,35.964436769485474,0.52,0.37842260968087116,0.24554507156733707
250,0.9366354378548474,0.7898650169372559,38.03353548049927,0.5733333333333334,0.4201996476805637,0.28745091508520926
270,0.9678313923278636,0.7391693592071533,30.4828999042511,0.6166666666666667,0.4573778664007976,0.3401605900533915
290,0.9925965931564615,0.6979918479919434,37.513505697250366,0.6033333333333334,0.4172065994255561,0.3004973091357997
