k,pca_info_list,pca_t,kmeans_t,purity,f_list,ari_list
10,0.149085411556461,0.3757307529449463,1.2700824737548828,0.5866666666666667,0.4501826103671429,0.33484189876512294
30,0.30699531357349474,0.18265199661254883,3.47515869140625,0.5966666666666667,0.4624299541518085,0.3489075021589949
50,0.42655939625573835,0.05056166648864746,5.8276495933532715,0.6933333333333334,0.5241333333333333,0.4286236714587851
70,0.5258920538235714,0.04785037040710449,7.276140451431274,0.61,0.47455342096393666,0.37044300113312995
90,0.6100042195124848,0.13036704063415527,8.165254592895508,0.6166666666666667,0.4652754478963967,0.3587574475826625
110,0.6829038666840369,0.09372758865356445,10.082707643508911,0.6466666666666666,0.47586160200419797,0.37255592432260404
130,0.7466440673286618,0.11787271499633789,11.505388975143433,0.6166666666666667,0.43751247090123047,0.3243140980163454
150,0.8014237017665995,0.212052583694458,12.64492392539978,0.61,0.4420725528609066,0.33180750725910607
170,0.8485218540238588,0.14241886138916016,14.157404661178589,0.6233333333333333,0.4863490364025696,0.3837011592773877
190,0.888365612196547,0.1405959129333496,16.135438203811646,0.6533333333333333,0.47527435306868987,0.37191108681255564
210,0.9214994412831532,0.5917248725891113,17.203722953796387,0.64,0.48206232752238,0.37926086122512076
230,0.948388110625181,0.20310091972351074,19.095017433166504,0.6266666666666667,0.46003611798541905,0.3520711988964558
250,0.9700399632655186,0.1031198501586914,21.165738821029663,0.61,0.4451006711409396,0.3345897932816537
270,0.9859601387669563,0.10458874702453613,22.55070471763611,0.57,0.41573336931588173,0.3000879573090794
290,0.9968814638996943,0.11537504196166992,24.739416360855103,0.5666666666666667,0.39330260303687636,0.27388825034215614
