k,info_list,rsvd_t,gmm_t,purity,f_list,ari_list
10,0.07953858395274399,0.01562190055847168,2.615417718887329,0.5766666666666667,0.43448318268462155,0.3106566465195832
30,0.19283539354919732,0.01562356948852539,2.03540301322937,0.54,0.426516422920163,0.29774578131781165
50,0.2904337858197073,0.046860456466674805,1.9300053119659424,0.5833333333333334,0.45538167482976943,0.33268370962064814
70,0.37893986493641363,0.047643423080444336,2.4558308124542236,0.6233333333333333,0.4552337938363443,0.3454260392744697
90,0.46019908401239906,0.06248164176940918,2.9616153240203857,0.5333333333333333,0.3920162381596753,0.2720791746589074
110,0.535662768742181,0.07810759544372559,3.3069510459899902,0.4866666666666667,0.3697345833883534,0.24182672155628976
130,0.6059673338692915,0.07810521125793457,3.807032823562622,0.5666666666666667,0.41999199252635794,0.3037058946771669
150,0.6711036735019817,0.11129498481750488,5.105417728424072,0.5533333333333333,0.4036636357602708,0.2833603688892908
170,0.7312370364763657,0.10934829711914062,8.326618194580078,0.6133333333333333,0.4422594425984946,0.33252534233766967
190,0.7867818863409387,0.14059686660766602,14.745665073394775,0.6433333333333333,0.4849782535965206,0.3820484420332175
210,0.8373734580286165,0.15620803833007812,23.68664789199829,0.68,0.519986563654686,0.4245020116184942
230,0.8829128901176698,0.17357993125915527,9.634334802627563,0.5566666666666666,0.4247668880391762,0.31014363369600284
250,0.9233512060705548,0.17309141159057617,16.785079956054688,0.54,0.40488984416980117,0.28648228770401113
270,0.9588354648976551,0.19623112678527832,13.328910112380981,0.6266666666666667,0.47549739618106557,0.37040449995952696
290,0.9882832698328549,0.19365358352661133,17.95558190345764,0.58,0.41063416594120405,0.2929561858363876
