k,info_list,svd_t,gmm_t,purity,f_list,ari_list
10,0.07953858395274399,0.5437,43.46514391899109,0.6133333333333333,0.47904714392616615,0.36659738873944603
30,0.19283539354919732,0.5437,9.327109575271606,0.62,0.4598498706869362,0.34463811763886787
50,0.2904337858197073,0.5437,17.21695351600647,0.5166666666666667,0.37951091375320534,0.24598070862148771
70,0.37893986493641363,0.5437,37.54703712463379,0.5133333333333333,0.3805619034816507,0.2574107100990682
90,0.46019908401239906,0.5437,49.72061610221863,0.49666666666666665,0.35340014797874486,0.224960207001788
110,0.535662768742181,0.5437,32.17873430252075,0.5333333333333333,0.3888365837256221,0.26740699401752954
130,0.6059673338692915,0.5437,69.52124524116516,0.48,0.34561626429479037,0.2147529706620202
150,0.6711036735019817,0.5437,63.952120780944824,0.61,0.45298066059679676,0.3427943196162518
170,0.7312370364763657,0.5437,81.32042527198792,0.57,0.4246244635193133,0.3099279860297417
190,0.7867818863409387,0.5437,88.4516191482544,0.5666666666666667,0.4370549509606342,0.3250647966025085
210,0.8373734580286165,0.5437,152.61961364746094,0.5566666666666666,0.4248816768086545,0.31133711878129156
230,0.8829128901176698,0.5437,86.501473903656,0.5433333333333333,0.4168935520286872,0.29933077299362
250,0.9233512060705548,0.5437,129.46716904640198,0.5466666666666666,0.4236760124610591,0.3101121231494692
270,0.9588354648976551,0.5437,206.92201018333435,0.5533333333333333,0.4174311926605505,0.30210350266654123
290,0.9882832698328549,0.5437,172.39042234420776,0.5433333333333333,0.40315512708150747,0.2849168213914942
