k,info_list,svd_t,kmeans_t,purity,f_list,ari_list
10,0.07953858395274399,0.5437,1.300177812576294,0.6166666666666667,0.4746422294752699,0.36200234944292503
30,0.19283539354919732,0.5437,3.652144193649292,0.6633333333333333,0.5360057452503755,0.44064661990193776
50,0.2904337858197073,0.5437,5.334696054458618,0.6033333333333334,0.45209701192549917,0.3427575229288259
70,0.37893986493641363,0.5437,6.86156702041626,0.6366666666666667,0.49616908850726554,0.3939661586208363
90,0.46019908401239906,0.5437,9.144382238388062,0.6366666666666667,0.502183112782965,0.40314152907393147
110,0.535662768742181,0.5437,10.17212963104248,0.62,0.4499532273152479,0.33984432203485293
130,0.6059673338692915,0.5437,15.81612253189087,0.6466666666666666,0.4591864224137931,0.35192083240209593
150,0.6711036735019817,0.5437,19.199372053146362,0.6066666666666667,0.46706827309236953,0.36060044477390657
170,0.7312370364763657,0.5437,18.842692852020264,0.6766666666666666,0.5067472306143002,0.4085520550213438
190,0.7867818863409387,0.5437,18.717754125595093,0.65,0.4745899435332079,0.3701490091570234
210,0.8373734580286165,0.5437,20.86420440673828,0.5233333333333333,0.3961832559963401,0.2722323957446663
230,0.8829128901176698,0.5437,26.42056441307068,0.5966666666666667,0.4382368703108253,0.3261139724813939
250,0.9233512060705548,0.5437,27.874004364013672,0.6466666666666666,0.46487365354650767,0.3594700781962546
270,0.9588354648976551,0.5437,39.93507528305054,0.61,0.437979582304664,0.32529113745674365
290,0.9882832698328549,0.5437,33.86004686355591,0.5933333333333334,0.4261108504791904,0.3116302241666109
