k,pca_info_list,time,purity,f_list,ari_list
10,0.1491,8.2263,0.57,0.4306,0.3114
30,0.307,2.3779,0.5067,0.3573,0.1776
50,0.4266,2.1506,0.5033,0.349,0.1783
70,0.5259,2.4198,0.53,0.3765,0.2351
90,0.61,2.9706,0.56,0.4275,0.2995
110,0.6829,3.4364,0.49,0.3887,0.257
130,0.7466,3.9574,0.5467,0.399,0.2746
150,0.8014,5.2855,0.5667,0.4179,0.2974
170,0.8485,6.2314,0.7,0.5165,0.4174
190,0.8884,7.5542,0.49,0.3463,0.2173
210,0.9215,9.8491,0.6133,0.4405,0.3249
230,0.9484,9.3826,0.6433,0.476,0.3668
250,0.97,13.2197,0.5433,0.4207,0.3013
270,0.986,12.3705,0.53,0.3934,0.2671
290,0.9969,15.6965,0.61,0.4203,0.3044
